Id;RIS-id;HSA-id;Namn;Tillagd
id1;ris1;hsaid1;name;2014-05-20 14:03:37.0
id2;ris2;hsa2;test2;2014-05-27 15:04:04.0
id2;ris2;hsa2;test2;2014-05-27 15:06:54.0
ID3;RIS1;HSA4;TEST;2014-05-27 15:08:00.0
id4;ris2;hsaid24;test;2014-06-02 16:59:53.0
id5;ris3;hsa53;test;2014-06-03 10:40:21.0
id6;ris3;hsa63;test;2014-06-03 10:42:29.0
id7;ris3;hsa73;test;2014-06-03 10:49:00.0
ref-unit-1;REF_UNIT_IN_1;SE-0123456789-REFUNIT1;REFUNIT1;2014-06-30 13:41:22.0
hsa-test-1;HSA_ID;SE-0123456789-HSATEST;HSATEST;2014-06-30 13:43:22.0
id9;ris1;SE4201001234-HSAtest;test;2014-06-30 17:00:33.0
id10;ris1;SE0123456789-test;test;2014-07-01 06:37:09.0
id11;ris1;SE0123456789-test11;test;2014-07-01 10:50:06.0
test;test;SE0123456789-1234567890;null;2014-08-11 08:44:49.0
testid1;ris1;SE0123456789-1354;null;2014-09-08 14:40:37.0
testid2;ris1;SE0123456789-15;null;2014-09-08 14:42:36.0
id45;ris2;SE0123456789-987;null;2014-09-08 14:58:11.0
testid98;ris1;SE0123456789-9879;null;2014-09-08 15:37:00.0
